ID,COORDS_X,COORDS_Y,AGE,ROOMS,HOUSESIZE,LOTSIZE,INQUALITY,PARKING,DISTAMEN,DISTCBD,PROXAMEN,DFLOOD100,TRPRICE,YEAR,ASKPRICE,AGE2,HOUSESIZE2,LOTSIZE2,LN_DISTCBD,LN_DISTAMEN
6664111,175056,318905,82,4,157,188,2,0,1406,1627,2334,0,243048,2019,249000,6724,24649,35344,7.3944931,7.2485042
4466813,179070,318880,23,6,133,269,4,1,2114,2824,1625,0,324655,2012,329000,529,17689,72361,7.9459095,7.6563373
6872086,178568,315620,41,6,115,197,4,1,1396,3208,2344,0,212667,2019,219000,1681,13225,38809,8.0734034,7.2413664
4860834,174324,319801,49,8,134,258,3,0,1652,2757,2087,0,156832,2014,169000,2401,17956,66564,7.9218984,7.4097419
7092808,174637,317537,23,4,126,195,4,0,2041,1811,1698,0,296359,2020,299000,529,15876,38025,7.5016346,7.6211953
4900451,176686,316353,18,7,210,241,4,1,64,1652,3676,0,557024,2014,575000,324,44100,58081,7.4097419,4.1588831
5995632,178553,317560,58,4,138,222,4,1,1567,2200,2172,0,326644,2017,349000,3364,19044,49284,7.6962128,7.3569183
5017169,174330,316347,48,7,150,456,3,1,2410,2631,1330,0,400192,2014,419000,2304,22500,207936,7.8751192,7.7873821
2864740,176624,317427,53,1,230,142,4,1,132,598,3608,0,714096,2006,739000,2809,52900,20164,6.3935909,4.882802
4626550,174070,318821,52,6,130,238,5,1,2302,2471,1438,0,221696,2013,239500,2704,16900,56644,7.8123784,7.7415338
4674245,178166,317832,65,4,85,106,4,0,1301,1779,2439,0,158355,2013,169000,4225,7225,11236,7.4838066,7.1708884
3373026,179003,317850,63,10,135,265,4,1,2088,2613,1652,0,312060,2009,318000,3969,18225,70225,7.8682542,7.6439619
2961445,179328,319533,88,10,160,363,3,1,2320,3321,1420,0,263088,2006,295000,7744,25600,131769,8.1080208,7.7493224
4152493,174858,319451,50,4,124,307,4,1,1309,2127,2431,0,229400,2011,239000,2500,15376,94249,7.662468,7.1770186
5095142,175789,316708,62,4,125,348,1,1,1000,1407,2739,0,243360,2014,285000,3844,15625,121104,7.2492151,6.9077554
3955388,173038,317531,22,6,150,248,4,1,3625,3385,115,0,275280,2011,295000,484,22500,61504,8.1271095,8.1956091
